title,rating,num of ratings
2001: A Space Odyssey (1968),3.8944954128440368,109
2010: The Year We Make Contact (1984),3.588235294117647,17
2012 (2009),2.619047619047619,21
2046 (2004),4.071428571428571,7
2048: Nowhere to Run (2017),3.5,1
21 (2008),3.75,18
21 Grams (2003),3.3,25
21 Jump Street (2012),3.8653846153846154,26
21 Up (1977),4.0,3
21 and Over (2013),3.625,4
22 Jump Street (2014),3.6842105263157894,19
24 Hour Party People (2002),3.5714285714285716,7
25th Hour (2002),3.840909090909091,22
27 Dresses (2008),3.3,20
28 Days (2000),3.3,25
28 Days Later (2002),3.9741379310344827,58
28 Up (1985),4.0,3
28 Weeks Later (2007),3.5952380952380953,21
3 Days to Kill (2014),1.0,2
3 Extremes (Three... Extremes) (Saam gaang yi) (2004),3.3333333333333335,3
3 Idiots (2009),4.75,2
3 Ninjas (1992),2.0833333333333335,6
3 Ninjas Kick Back (1994),1.25,2
3 Ninjas Knuckle Up (1995),0.5,1
3 Ninjas: High Noon On Mega Mountain (1998),4.0,1
3 Women (Three Women) (1977),4.166666666666667,3
3 dev adam (Three Giant Men) (1973) ,0.5,1
3-Iron (Bin-jip) (2004),4.5,3
30 Days of Night (2007),3.1818181818181817,11
30 Minutes or Less (2011),2.6666666666666665,6
300 (2007),3.68125,80
3000 Miles to Graceland (2001),2.7142857142857144,7
300: Rise of an Empire (2014),2.125,4
31 (2016),3.5,1
35 Up (1991),4.0,3
"39 Steps, The (1935)",4.045454545454546,11
3:10 to Yuma (1957),4.0,1
3:10 to Yuma (2007),4.06,25
4 Little Girls (1997),4.25,2
"4 Months, 3 Weeks and 2 Days (4 luni, 3 saptamâni si 2 zile) (2007)",4.0,3
40 Days and 40 Nights (2002),3.0,18
"40-Year-Old Virgin, The (2005)",3.5472972972972974,74
"400 Blows, The (Les quatre cents coups) (1959)",4.0,12
42 (2013),4.0,1
42 Up (1998),4.0,2
42nd Street (1933),4.0,3
47 Ronin (2013),2.642857142857143,7
48 Hrs. (1982),3.590909090909091,11
49 Up (2005),4.0,2
5 Centimeters per Second (Byôsoku 5 senchimêtoru) (2007),3.5,3
5 to 7 (2014),2.5,1
"5,000 Fingers of Dr. T, The (1953)",4.0,2
50 First Dates (2004),3.5531914893617023,47
50/50 (2011),3.6315789473684212,19
52 Pick-Up (1986),3.6666666666666665,3
54 (1998),2.0,5
6 Days to Air: The Making of South Park (2011),4.0,1
61* (2001),5.0,1
"6th Day, The (2000)",2.8,20
"6th Man, The (Sixth Man, The) (1997)",1.5,2
7 Days in Hell (2015),4.0,2
7 Faces of Dr. Lao (1964),5.0,1
"7th Voyage of Sinbad, The (1958)",4.4,5
8 1/2 (8½) (1963),4.071428571428571,14
8 Heads in a Duffel Bag (1997),3.0,4
8 Mile (2002),3.292682926829268,41
8 Seconds (1994),3.0,2
8 Women (2002),3.8333333333333335,3
8 ½ Women (a.k.a. 8 1/2 Women) (a.k.a. Eight and a Half Women) (1999),3.3333333333333335,3
800 Bullets (800 Balas) (2002),2.5,1
84 Charing Cross Road (1987),4.5,3
8MM (1999),2.9444444444444446,18
9 (2009),3.642857142857143,14
9 1/2 Weeks (Nine 1/2 Weeks) (1986),2.7,10
9/11 (2002),5.0,1
96 Minutes (2011) ,2.5,1
964 Pinocchio (1991),1.0,1
99 francs (2007),4.0,1
9to5: Days in Porn (a.k.a. 9 to 5: Days in Porn) (2008),3.5,1
A Bad Moms Christmas (2017),3.5,1
A Christmas Story Live! (2017),2.0,1
A Cosmic Christmas (1977),4.0,1
A Detective Story (2003),5.0,1
A Dog's Purpose (2017),4.5,1
A Flintstones Christmas Carol (1994),5.0,1
A German Life (2016),3.0,1
A Home at the End of the World (2004),3.5,1
A Man Called Blade (1977),3.0,1
A Man from Boulevard des Capucines (1987),4.0,1
A Merry Friggin' Christmas (2014),2.0,1
A Midsummer Night's Dream (2016),4.0,1
A Million Ways to Die in the West (2014),2.9583333333333335,12
A Most Wanted Man (2014),4.5,1
A Perfect Day (2015),5.0,1
A Pigeon Sat on a Branch Reflecting on Existence (2014),4.0,2
A Plasticine Crow (1981),5.0,1
A Quiet Place (2018),2.75,4
A Silent Voice (2016),4.0,2
A Story of Children and Film (2013),3.5,1
A Street Cat Named Bob (2016),3.5,1
A Very Murray Christmas (2015),2.5,1
A Walk in the Woods (2015),3.5,1
A Wrinkle in Time (2018),3.0,1
"A-Team, The (2010)",3.1470588235294117,17
A.I. Artificial Intelligence (2001),3.3392857142857144,56
"ABCs of Death, The (2012)",3.5,1
ARQ (2016),4.5,1
AVP: Alien vs. Predator (2004),2.823529411764706,17
AVPR: Aliens vs. Predator - Requiem (2007),2.5833333333333335,6
"Abandoned, The (2006)",2.0,1
Abbott and Costello Meet Frankenstein (1948),3.75,4
Abduction (2011),3.5,1
"Abominable Dr. Phibes, The (1971)",3.8333333333333335,3
"Abominable Snowman, The (Abominable Snowman of the Himalayas, The) (1957)",4.0,1
About Adam (2000),3.75,2
About Last Night (2014),2.25,2
About Last Night... (1986),3.0,9
About Schmidt (2002),3.173076923076923,26
About Time (2013),3.933333333333333,15
About a Boy (2002),3.715909090909091,44
Above the Law (1988),2.5,2
Above the Rim (1994),2.0,1
Abraham Lincoln: Vampire Hunter (2012),2.75,6
Absence of Malice (1981),3.25,2
"Absent-Minded Professor, The (1961)",3.388888888888889,9
Absentia (2011),3.5,1
Absolute Power (1997),2.6666666666666665,12
Absolutely Anything (2015),3.0,1
"Abyss, The (1989)",3.475806451612903,62
Accepted (2006),2.9285714285714284,14
"Accidental Spy, The (Dak miu mai shing) (2001)",2.5,1
"Accidental Tourist, The (1988)",3.6,5
"Accused, The (1988)",3.7,5
Ace Ventura: Pet Detective (1994),3.040372670807453,161
Ace Ventura: When Nature Calls (1995),2.727272727272727,88
"Ace in the Hole (Big Carnival, The) (1951)",3.0,1
Aces: Iron Eagle III (1992),2.0,3
"Acid House, The (1998)",3.5,1
Across the Hall (2009),2.0,1
Across the Universe (2007),4.045454545454546,11
"Act of Killing, The (2012)",5.0,1
Act of Valor (2012),3.75,2
Action Jackson (1988),1.6666666666666667,3
Adam and Eve (National Lampoon's Adam & Eve) (2005),2.5,1
Adam's Apples (Adams æbler) (2005),4.166666666666667,3
Adam's Rib (1949),4.75,4
Adanggaman (2000),2.0,1
Adaptation (2002),3.9456521739130435,46
Addams Family Reunion (1998),3.0,1
Addams Family Values (1993),3.1011904761904763,84
"Addams Family, The (1991)",3.289473684210526,38
Addicted to Love (1997),2.7,10
"Addiction, The (1995)",1.5,2
"Adjustment Bureau, The (2011)",3.1666666666666665,21
Admission (2013),3.0,4
Adventureland (2009),3.3333333333333335,15
Adventures Of Sherlock Holmes And Dr. Watson: The Twentieth Century Approaches (1986),5.0,1
Adventures in Babysitting (1987),3.325,20
Adventures in Plymptoons! (2011),3.5,1
"Adventures of Baron Munchausen, The (1988)",3.769230769230769,13
"Adventures of Buckaroo Banzai Across the 8th Dimension, The (1984)",3.5476190476190474,21
"Adventures of Elmo in Grouchland, The (1999)",1.5,2
"Adventures of Ford Fairlane, The (1990)",3.0,2
"Adventures of Huck Finn, The (1993)",2.5,3
"Adventures of Ichabod and Mr. Toad, The (1949)",3.0,3
"Adventures of Mary-Kate and Ashley, The: The Case of the Christmas Caper (1995)",3.0,1
"Adventures of Milo and Otis, The (Koneko monogatari) (1986)",3.857142857142857,7
Adventures of Mowgli: The Kidnapping (1968),4.5,1
"Adventures of Pinocchio, The (1996)",3.3333333333333335,6
"Adventures of Pluto Nash, The (2002)",2.3333333333333335,3
"Adventures of Priscilla, Queen of the Desert, The (1994)",3.5972222222222223,36
"Adventures of Robin Hood, The (1938)",4.0,8
"Adventures of Rocky and Bullwinkle, The (2000)",2.2222222222222223,9
"Adventures of Sebastian Cole, The (1998)",3.25,2
"Adventures of Sharkboy and Lavagirl 3-D, The (2005)",1.75,2
"Adventures of Tintin, The (2011)",3.5,12
Advise and Consent (1962),5.0,1
Aelita: The Queen of Mars (Aelita) (1924),4.5,1
Aeon Flux (2005),2.761904761904762,21
"Affair of Love, An (Liaison pornographique, Une) (1999)",4.75,2
"Affair of the Necklace, The (2001)",3.25,2
"Affair to Remember, An (1957)",3.9375,8
Afflicted (2013),3.5,1
Affliction (1997),3.1666666666666665,3
Afonya (1975),4.0,1
Africa: The Serengeti (1994),4.0,1
African Cats (2011),2.5,1
"African Queen, The (1951)",3.9705882352941178,34
Afro Samurai (2007),2.5,1
Afro Samurai: Resurrection (2009),2.5,1
After Earth (2013),1.0,2
After Hours (1985),3.7857142857142856,7
After Life (Wandafuru raifu) (1998),4.25,2
After the Fox (Caccia alla volpe) (1966),2.75,2
After the Sunset (2004),3.5833333333333335,6
After the Thin Man (1936),2.8333333333333335,3
After the Wedding (Efter brylluppet) (2006),3.5,1
Afterglow (1997),4.5,4
Against All Odds (1984),2.3333333333333335,3
Against the Ropes (2004),2.0,2
"Age of Innocence, The (1993)",3.5,15
Agent Cody Banks (2003),1.9,5
Agent Cody Banks 2: Destination London (2004),4.0,1
Agnes of God (1985),3.7,5
"Agony and the Ecstasy, The (1965)",4.0,1
Agora (2009),4.0,1
"Aguirre: The Wrath of God (Aguirre, der Zorn Gottes) (1972)",4.0,8
Aileen: Life and Death of a Serial Killer (2003),3.5,2
Air America (1990),2.8333333333333335,6
Air Bud (1997),2.375,4
Air Bud: Golden Receiver (1998),2.0,3
Air Force One (1997),3.3448275862068964,58
"Air I Breathe, The (2007)",3.0,1
"Air Up There, The (1994)",2.3333333333333335,6
Airborne (1993),2.5,1
Airheads (1994),2.7884615384615383,26
Airplane II: The Sequel (1982),3.1842105263157894,19
Airplane! (1980),3.8563218390804597,87
Airport '77 (1977),3.25,4
Airport (1970),2.1666666666666665,3
Airport 1975 (1974),3.5,2
Akeelah and the Bee (2006),3.8,5
Akira (1988),3.7435897435897436,39
Akira Kurosawa's Dreams (Dreams) (1990),4.333333333333333,3
Aladdin (1992),3.7923497267759565,183
Aladdin and the King of Thieves (1996),3.1538461538461537,13
"Alamo, The (1960)",3.375,4
Alan Partridge: Alpha Papa (2013),4.0,1
Alaska (1996),3.5,2
Alaska: Spirit of the Wild (1997),4.0,1
Albatross (2011),2.5,1
Albino Alligator (1996),2.25,2
Alesha Popovich and Tugarin the Dragon (2004),5.0,1
Alex Cross (2012),1.5,1
Alex and Emma (2003),2.0,1
Alexander (2004),2.2,10
Alexander Nevsky (Aleksandr Nevskiy) (1938),4.0,2
Alfie (1966),3.25,4
Alfie (2004),2.3333333333333335,3
Ali (2001),3.0,8
Ali G Indahouse (2002),3.0,3
Ali Wong: Baby Cobra (2016),4.5,1
Ali: Fear Eats the Soul (Angst essen Seele auf) (1974),4.0,2
Alias Betty (Betty Fisher et autres histoires) (2001),2.0,1
Alice (1990),3.0,3
Alice (2009),4.0,1
Alice (Neco z Alenky) (1988),3.75,2
Alice Adams (1935),3.5,1
Alice Doesn't Live Here Anymore (1974),4.166666666666667,3
Alice Through the Looking Glass (2016),2.0,4
Alice in Wonderland (1933),4.0,1
Alice in Wonderland (1951),3.375,40
Alice in Wonderland (2010),2.875,28
Alien (1979),3.969178082191781,146
Alien Contamination (1980),5.0,1
Alien Nation (1988),3.1153846153846154,13
Alien from L.A. (1988),3.5,1
Alien: Covenant (2017),2.8,5
Alien: Resurrection (1997),2.922222222222222,45
Aliens (1986),3.9642857142857144,126
Alien³ (a.k.a. Alien 3) (1992),3.148936170212766,47
Alive (1993),3.1666666666666665,9
All About Eve (1950),4.229166666666667,24
All About Lily Chou-Chou (Riri Shushu no subete) (2001),3.0,1
All About My Mother (Todo sobre mi madre) (1999),4.157894736842105,19
All About the Benjamins (2002),2.5,2
"All Dogs Christmas Carol, An (1998)",4.5,1
All Dogs Go to Heaven (1989),2.7,15
All Dogs Go to Heaven 2 (1996),3.1818181818181817,11
All Good Things (2010),3.75,2
All Is Lost (2013),3.625,4
All Over the Guy (2001),3.0,1
All Quiet on the Western Front (1930),4.35,10
All Roads Lead to Rome (2016),1.5,1
All That Heaven Allows (1955),4.25,4
All That Jazz (1979),4.083333333333333,6
"All This, and Heaven Too (1940)",4.0,1
All Watched Over by Machines of Loving Grace (2011),4.25,2
All Yours (2016),5.0,1
All is Bright (2013),1.5,1
All of Me (1984),2.5,2
All or Nothing (2002),3.6666666666666665,3
All the Boys Love Mandy Lane (2006),3.0,1
All the King's Men (1949),4.25,4
All the King's Men (2006),3.0,3
All the President's Men (1976),4.018518518518518,27
All the Pretty Horses (2000),2.5,2
All the Real Girls (2003),4.25,2
All the Right Moves (1983),2.25,2
All the Vermeers in New York (1990),5.0,1
All-Star Superman (2011),4.25,2
Allan Quatermain and the Lost City of Gold (1987),1.8333333333333333,6
Allegro non troppo (1977),4.0,1
Alles Inklusive (2014),3.5,1
Alligator (1980),2.0,3
"Allnighter, The (1987)",1.5,2
Almost Famous (2000),3.8674698795180724,83
Almost Heroes (1998),2.0,2
Almost an Angel (1990),2.5,1
Aloha (2015),0.5,1
Alone in the Dark (2005),0.5,1
Alone in the Dark II (2008),3.5,1
Along Came Polly (2004),3.0416666666666665,24
Along Came a Spider (2001),3.1470588235294117,17
Alpha (2018),4.5,1
Alpha Dog (2007),3.125,8
Alpha and Omega 3: The Great Wolf Games (2014),4.5,1
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",4.125,4
Altered (2006),3.0,1
Altered States (1980),3.5714285714285716,7
Alvarez Kelly (1966),3.0,1
Alvin and the Chipmunks (2007),1.5,3
Alvin and the Chipmunks: Chipwrecked (2011),1.0,2
Alvin and the Chipmunks: The Squeakquel (2009),2.6666666666666665,3
Always (1989),2.8333333333333335,6
Always Watching: A Marble Hornets Story (2015),2.0,1
Amadeus (1984),4.184210526315789,76
Amanda Knox (2016),3.5,1
Amarcord (1973),4.0,2
Amateur (1994),2.0,1
Amazing Grace (2006),3.0,1
Amazing Grace and Chuck (1987),4.0,1
"Amazing Panda Adventure, The (1995)",3.3333333333333335,3
"Amazing Spider-Man, The (2012)",3.25,30
"Amazing Transparent Man, The (1960)",3.5,1
Amazon Women on the Moon (1987),4.25,2
"Amelie (Fabuleux destin d'Amélie Poulain, Le) (2001)",4.183333333333334,120
Amen. (2002),3.8333333333333335,3
Amer (2009),0.5,1
America's Sweethearts (2001),2.5833333333333335,18
"American Astronaut, The (2001)",2.5,1
American Beauty (1999),4.056372549019608,204
American Buffalo (1996),1.5,1
"American Carol, An (2008)",2.0,1
American Dreamz (2006),3.0,1
American Drug War: The Last White Hope (2007),3.0,1
American Fable (2017),2.5,1
American Flyers (1985),3.5,2
"American Friend, The (Amerikanische Freund, Der) (1977)",5.0,1
American Gangster (2007),3.9054054054054053,37
American Gigolo (1980),2.6875,8
American Graffiti (1973),3.8488372093023258,43
American Grindhouse (2010),4.0,1
American Hardcore (2006),3.5,1
"American Haunting, An (2005)",1.5,2
American Heist (2015),1.5,1
American History X (1998),4.217054263565892,129
American Hustle (2013),3.25,16
American Made (2017),4.5,2
American Me (1992),2.5,3
American Movie (1999),3.75,6
American Ninja (1985),2.5,2
American Outlaws (2001),2.125,4
American Pie (1999),3.378640776699029,103
American Pie 2 (2001),3.066666666666667,45
American Pie Presents Beta House (American Pie 6: Beta House) (2007),2.75,2
American Pie Presents The Naked Mile (American Pie 5: The Naked Mile) (2006),1.1666666666666667,3
American Pie Presents: Band Camp (American Pie 4: Band Camp) (2005),2.142857142857143,7
American Pie Presents: The Book of Love (American Pie 7: The Book of Love) (2009),2.1666666666666665,3
American Pop (1981),3.5,2
"American President, The (1995)",3.6714285714285713,70
American Psycho (2000),3.788135593220339,59
American Psycho II: All American Girl (2002),2.5,1
American Reunion (American Pie 4) (2012),2.625,4
American Sniper (2014),3.8,15
American Splendor (2003),3.8333333333333335,18
"American Tail, An (1986)",3.1666666666666665,18
"American Tail: Fievel Goes West, An (1991)",2.7,10
American Ultra (2015),2.6666666666666665,6
American Wedding (American Pie 3) (2003),3.09375,16
"American Werewolf in London, An (1981)",3.4130434782608696,23
"American Werewolf in Paris, An (1997)",2.3,10
"American in Paris, An (1951)",3.7083333333333335,12
"American, The (2010)",2.625,4
American: The Bill Hicks Story (2009),4.0,3
"Americanization of Emily, The (1964)",4.0,1
Americathon (1979),1.5,1
Amistad (1997),3.5,19
Amityville 1992: It's About Time (1992),1.5,3
Amityville 3-D (1983),1.6666666666666667,3
"Amityville Curse, The (1990)",0.75,2
"Amityville Horror, The (1979)",2.6333333333333333,15
"Amityville Horror, The (2005)",2.25,6
Amityville II: The Possession (1982),1.125,4
Amityville: A New Generation (1993),1.25,2
Amityville: Dollhouse (1996),1.1666666666666667,3
Amores Perros (Love's a Bitch) (2000),3.9347826086956523,23
Amos & Andrew (1993),1.5,2
Amy (2015),3.5,4
Amy's O (a.k.a. Amy's Orgasm) (2001),4.0,1
An Amazing Couple (2002),4.0,1
Anacleto: Agente secreto (2015),4.0,1
Anaconda (1997),1.9259259259259258,27
Anaconda: The Offspring (2008),0.5,1
Anacondas: The Hunt for the Blood Orchid (2004),1.75,2
Analyze That (2002),2.5625,8
Analyze This (1999),3.095744680851064,47
"Anarchist Cookbook, The (2002)",4.0,1
Anastasia (1956),3.5,1
Anastasia (1997),3.35,20
Anatomy of a Murder (1959),4.0,4
Anchorman 2: The Legend Continues (2013),3.3636363636363638,11
Anchorman: The Legend of Ron Burgundy (2004),3.7719298245614037,57
Anchors Aweigh (1945),3.2,5
And God Created Woman (Et Dieu... créa la femme) (1956),4.0,1
And Now... Ladies and Gentlemen... (2002),4.0,1
And So It Goes (2014),2.0,1
And Starring Pancho Villa as Himself (2003),3.5,1
And Then There Were None (1945),3.625,4
And Your Mother Too (Y tu mamá también) (2001),3.9523809523809526,21
And the Band Played On (1993),3.25,2
And the Ship Sails On (E la nave va) (1983),4.0,1
"Andalusian Dog, An (Chien andalou, Un) (1929)",4.5,4
Andre (1994),2.125,4
Andrei Rublev (Andrey Rublyov) (1969),4.5,1
Andrew Dice Clay: Dice Rules (1991),4.0,1
Android (1982),4.5,2
"Andromeda Strain, The (1971)",3.625,8
Angel Baby (1995),3.0,2
Angel Eyes (2001),1.625,4
Angel Heart (1987),3.0,8
"Angel at My Table, An (1990)",4.0,1
Angel's Egg (Tenshi no tamago) (1985),3.25,2
Angel-A (2005),3.5,3
Angela's Ashes (1999),3.3333333333333335,3
Angels & Demons (2009),3.264705882352941,17
Angels and Insects (1995),3.857142857142857,7
Angels in the Outfield (1994),2.3333333333333335,27
Angels with Dirty Faces (1938),3.75,2
"Angels' Share, The (2012)",4.0,1
Anger Management (2003),3.0588235294117645,34
Angie (1994),2.0,1
"Angriest Man in Brooklyn, The (2014)",4.0,1
"Angry Red Planet, The (1959)",4.5,1
Angst  (1983),3.5,1
Angus (1995),3.2142857142857144,7
"Angus, Thongs and Perfect Snogging (2008)",2.5,1
Animal Crackers (1930),4.125,4
Animal Factory (2000),2.5,1
Animal Farm (1954),1.0,1
Animal House (1978),3.693548387096774,62
"Animal, The (2001)",2.1363636363636362,11
Animals are Beautiful People (1974),5.0,1
"Animatrix, The (2003)",3.7,20
Anna Christie (1930),3.5,1
Anna Karenina (1935),3.5,2
Anna Karenina (1997),4.0,1
Anna Karenina (2012),3.0,1
Anna and the King (1999),3.6666666666666665,9
Annabelle (2014),3.0,2
Annabelle: Creation (2017),4.0,1
Annapolis (2006),2.75,2
Anne Frank Remembered (1995),3.9,5
Anne of Green Gables (1985),4.5,3
Anne of Green Gables: The Sequel (a.k.a. Anne of Avonlea) (1987),4.75,2
Anne of the Thousand Days (1969),4.0,1
Annie (1982),3.125,16
Annie Get Your Gun (1950),2.5,1
Annie Hall (1977),3.8706896551724137,58
Annihilation (2018),3.8333333333333335,3
"Anniversary Party, The (2001)",4.0,3
Anomalisa (2015),3.25,2
Another 48 Hrs. (1990),3.0,5
Another Cinderella Story (2008),2.5,1
Another Earth (2011),4.5,1
Another Gay Movie (2006),3.5,1
Another Stakeout (1993),2.53125,16
Another Thin Man (1939),3.5,1
Another Woman (1988),4.5,1
"Ant Bully, The (2006)",3.25,2
Ant-Man (2015),3.7222222222222223,27
Ant-Man and the Wasp (2018),3.6666666666666665,3
Anthony Adverse (1936),3.0,1
Anti-Social (2015),1.5,1
Antichrist (2009),3.8,5
Antitrust (2001),3.5625,8
Antonia's Line (Antonia) (1995),3.875,8
Antonio Gaudí (1985),4.0,1
Antwone Fisher (2002),3.5555555555555554,9
Antz (1998),3.2444444444444445,45
Anvil! The Story of Anvil (2008),3.75,2
Any Given Sunday (1999),3.0,18
Any Which Way You Can (1980),2.0,2
Anything Else (2003),2.8333333333333335,3
Anything for Her (Pour elle) (2008),2.5,1
Anything for Love (2016),2.0,1
Anywhere But Here (1999),2.5,3
"Apartment, The (1960)",3.962962962962963,27
"Apartment, The (Appartement, L') (1996)",4.0,1
Apocalypse Now (1979),4.219626168224299,107
Apocalypto (2006),3.6052631578947367,19
Apollo 13 (1995),3.845771144278607,201
Apollo 18 (2011),2.0,1
"Apostle, The (1997)",3.0,7
Appaloosa (2008),3.0,1
"Apple Dumpling Gang Rides Again, The (1979)",2.875,4
"Apple Dumpling Gang, The (1975)",2.6,10
"Apple, The (Sib) (1998)",4.0,1
Applesauce (2015),4.5,1
Appleseed (Appurushîdo) (2004),3.8333333333333335,3
April Fool's Day (1986),1.5,4
April Morning (1988),2.5,1
Apt Pupil (1998),3.0,9
Aqua Teen Hunger Force Colon Movie Film for Theaters (2007),3.0,1
Aquamarine (2006),2.0,2
Arachnophobia (1990),2.811320754716981,53
Ararat (2002),4.5,1
Are We Done Yet? (2007),1.5,1
Are We There Yet? (2005),0.5,1
Are You Scared? (2006),3.5,1
Argo (2012),3.982142857142857,28
Ari Shaffir: Double Negative (2017),4.0,1
Ariel (1988),3.0,2
"Aristocats, The (1970)",3.411111111111111,45
"Aristocrats, The (2005)",3.35,10
Arizona Dream (1993),4.25,6
Arlington Road (1999),3.272727272727273,22
Armageddon (1998),3.0543478260869565,92
Armed and Dangerous (1986),2.75,8
Armour of God (Long xiong hu di) (1987),3.0833333333333335,6
Armour of God II: Operation Condor (Operation Condor) (Fei ying gai wak) (1991),3.2142857142857144,7
Army of Darkness (1993),4.03921568627451,51
Army of Shadows (L'armée des ombres) (1969),4.5,1
Around the World in 80 Days (1956),3.625,12
Around the World in 80 Days (2004),2.5,3
Arrival (2016),3.980769230769231,26
"Arrival, The (1996)",3.1136363636363638,22
Arsenic and Old Lace (1944),3.8793103448275863,29
Art School Confidential (2006),3.3333333333333335,6
"Art of Getting By, The (2011)",3.0,2
"Art of War, The (2000)",2.0,2
"Art of the Steal, The (2009)",4.0,2
"Art of the Steal, The (2013)",3.3333333333333335,3
Artemisia (1997),4.0,2
Arthur (1981),2.8,10
Arthur (2011),3.0,6
Arthur 2: On the Rocks (1988),1.5,3
Arthur Christmas (2011),0.5,1
"As Above, So Below (2014)",3.0,1
As Good as It Gets (1997),3.6979166666666665,96
As I Was Moving Ahead Occasionally I Saw Brief Glimpses of Beauty (2000),3.5,1
As You Like It (2006),3.0,1
"Ascent, The (Voskhozhdeniye) (1977)",3.5,1
Ashby (2015),3.0,2
Ashes and Diamonds (Popiól i diament) (1958),4.0,1
Ashes of Time (Dung che sai duk) (1994),4.0,1
Ask the Dust (2006),4.0,1
Aspen Extreme (1993),3.5,1
"Asphalt Jungle, The (1950)",3.6666666666666665,3
"Asphyx, The (1973)",4.5,1
Assassin's Creed (2016),2.5,2
Assassination (1987),4.0,1
Assassination Tango (2002),2.0,1
"Assassination of Jesse James by the Coward Robert Ford, The (2007)",4.1,10
"Assassination of Richard Nixon, The (2004)",3.5,2
Assassination of a High School President (2008),1.0,1
Assassins (1995),3.125,16
Assault on Precinct 13 (1976),3.6,5
Assault on Precinct 13 (2005),3.1875,8
Assembly (Ji jie hao) (2007) ,4.5,1
"Assignment, The (1997)",5.0,1
Asterix & Obelix vs. Caesar (Astérix et Obélix contre César) (1999),4.0,1
Asterix & Obelix: God Save Britannia (Astérix et Obélix: Au service de Sa Majesté) (2012),2.5,1
Asterix & Obelix: Mission Cleopatra (Astérix & Obélix: Mission Cléopâtre) (2002),4.0,3
Asterix and Cleopatra (Astérix et Cléopâtre) (1968),4.25,2
Asterix and the Vikings (Astérix et les Vikings) (2006),5.0,1
Asterix at the Olympic Games (Astérix aux jeux olympiques) (2008),4.0,1
Asterix in America (a.k.a Asterix Conquers America) (Astérix et les Indiens) (1994),3.75,2
Asterix: The Land of the Gods (Astérix: Le domaine des dieux) (2014),3.75,2
"Astronaut Farmer, The (2007)",2.25,2
"Astronaut's Wife, The (1999)",2.272727272727273,11
At Close Range (1986),3.3333333333333335,3
At First Sight (1999),2.6875,8
At Middleton (2013),1.5,1
At the Circus (1939),3.0,1
"Atalante, L' (1934)",4.5,1
