title,imdbId,tmdbId
Gordy (1995),113199,47867.0
Hoop Dreams (1994),110057,14275.0
Heavenly Creatures (1994),110005,1024.0
Houseguest (1994),110066,17207.0
Immortal Beloved (1994),110116,13701.0
Heavyweights (Heavy Weights) (1995),110006,14819.0
"Hunted, The (1995)",113360,32631.0
I.Q. (1994),110099,11777.0
Interview with the Vampire: The Vampire Chronicles (1994),110148,628.0
Jefferson in Paris (1995),113463,87729.0
"Jerky Boys, The (1995)",110189,18713.0
Junior (1994),110216,6280.0
Just Cause (1995),113501,9061.0
"Kid in King Arthur's Court, A (1995)",113538,37108.0
Kiss of Death (1995),113552,6071.0
Star Wars: Episode IV - A New Hope (1977),76759,11.0
Little Women (1994),110367,9587.0
"Little Princess, A (1995)",113670,19101.0
Ladybird Ladybird (1994),110296,49980.0
Like Water for Chocolate (Como agua para chocolate) (1992),103994,18183.0
Legends of the Fall (1994),110322,4476.0
Major Payne (1995),110443,11008.0
My Crazy Life (Mi vida loca) (1993),107566,32325.0
Love Affair (1994),110391,43742.0
Losing Isaiah (1995),113691,28313.0
"Madness of King George, The (1994)",110428,11318.0
Mary Shelley's Frankenstein (Frankenstein) (1994),109836,3036.0
Man of the House (1995),113755,40490.0
Mixed Nuts (1994),110538,24070.0
Milk Money (1994),110516,8986.0
Miracle on 34th Street (1994),110527,10510.0
Miami Rhapsody (1995),113808,17402.0
My Family (1995),113896,38722.0
Murder in the First (1995),113870,8438.0
Nobody's Fool (1994),110684,11593.0
Nell (1994),110638,1945.0
New Jersey Drive (1995),113967,39310.0
New York Cop (Nyû Yôku no koppu) (1993),117169,109560.0
Beyond Bedlam (1993),106402,56428.0
Nina Takes a Lover (1994),110671,131957.0
Natural Born Killers (1994),110632,241.0
Only You (1994),110737,9058.0
Once Were Warriors (1994),110729,527.0
Poison Ivy II (1996),114151,18220.0
Outbreak (1995),114069,6950.0
Léon: The Professional (a.k.a. The Professional) (Léon) (1994),110413,101.0
"Perez Family, The (1995)",114113,63020.0
"Pyromaniac's Love Story, A (1995)",114210,2307.0
Pulp Fiction (1994),110912,680.0
Pushing Hands (Tui shou) (1992),105652,25296.0
Priest (1994),110889,40156.0
Quiz Show (1994),110932,11450.0
Picture Bride (Bijo photo) (1994),114129,30304.0
"Queen Margot (Reine Margot, La) (1994)",110963,10452.0
"Quick and the Dead, The (1995)",114214,12106.0
Roommates (1995),114296,161495.0
Ready to Wear (Pret-A-Porter) (1994),110907,3586.0
Three Colors: Red (Trois couleurs: Rouge) (1994),111495,110.0
Three Colors: Blue (Trois couleurs: Bleu) (1993),108394,108.0
Three Colors: White (Trzy kolory: Bialy) (1994),111507,109.0
Rent-a-Kid (1995),114268,36357.0
Relative Fear (1994),110965,92769.0
Stuart Saves His Family (1995),114571,28033.0
"Swan Princess, The (1994)",111333,22586.0
"Secret of Roan Inish, The (1994)",111112,14334.0
"Specialist, The (1994)",111255,2636.0
Stargate (1994),111282,2164.0
"Santa Clause, The (1994)",111070,11395.0
"Shawshank Redemption, The (1994)",111161,278.0
Shallow Grave (1994),111149,9905.0
Suture (1993),108260,87078.0
Strawberry and Chocolate (Fresa y chocolate) (1993),106966,12527.0
Swimming with Sharks (1995),114594,20306.0
"Sum of Us, The (1994)",111309,36614.0
National Lampoon's Senior Trip (1995),113936,27993.0
To Live (Huozhe) (1994),110081,31439.0
Tank Girl (1995),114614,9067.0
Tales from the Crypt Presents: Demon Knight (1995),114608,9059.0
Star Trek: Generations (1994),111280,193.0
Tales from the Hood (1995),114609,25066.0
Tom & Viv (1994),111454,46797.0
Village of the Damned (1995),114852,12122.0
Tommy Boy (1995),114694,11381.0
Vanya on 42nd Street (1994),111590,32636.0
Underneath (1995),114788,36141.0
"Walking Dead, The (1995)",114888,95963.0
What's Eating Gilbert Grape (1993),108550,1587.0
Virtuosity (1995),114857,9271.0
While You Were Sleeping (1995),114924,2064.0
"War, The (1994)",111667,19855.0
Double Happiness (1994),109655,60855.0
Muriel's Wedding (1994),110598,236.0
"Baby-Sitters Club, The (1995)",112435,48287.0
Ace Ventura: Pet Detective (1994),109040,3049.0
"Adventures of Priscilla, Queen of the Desert, The (1994)",109045,2759.0
Backbeat (1993),106339,12635.0
Bitter Moon (1992),104779,10497.0
Bullets Over Broadway (1994),109348,11382.0
Clear and Present Danger (1994),109444,9331.0
"Client, The (1994)",109446,10731.0
"Corrina, Corrina (1994)",109484,10464.0
Crooklyn (1994),109504,34152.0
"Crow, The (1994)",109506,9495.0
Cobb (1994),109450,29973.0
"Flintstones, The (1994)",109813,888.0
Forrest Gump (1994),109830,13.0
Four Weddings and a Funeral (1994),109831,712.0
Higher Learning (1995),113305,16295.0
I Like It Like That (1994),110091,48992.0
I Love Trouble (1994),110093,10879.0
It Could Happen to You (1994),110167,10660.0
"Jungle Book, The (1994)",110213,10714.0
"Wonderful, Horrible Life of Leni Riefenstahl, The (Macht der Bilder: Leni Riefenstahl, Die) (1993)",107472,41647.0
"Lion King, The (1994)",110357,8587.0
Little Buddha (1993),107426,1689.0
"Wes Craven's New Nightmare (Nightmare on Elm Street Part 7: Freddy's Finale, A) (1994)",111686,11596.0
"Mask, The (1994)",110475,854.0
Maverick (1994),110478,9359.0
Mrs. Parker and the Vicious Circle (1994),110588,23333.0
Naked Gun 33 1/3: The Final Insult (1994),110622,36593.0
"Paper, The (1994)",110771,12280.0
Reality Bites (1994),110950,2788.0
Red Rock West (1992),105226,10427.0
Richie Rich (1994),110989,11011.0
"River Wild, The (1994)",110997,8987.0
Speed (1994),111257,1637.0
Speechless (1994),111256,15128.0
Timecop (1994),111438,8831.0
True Lies (1994),111503,36955.0
When a Man Loves a Woman (1994),111693,10449.0
Wolf (1994),111742,10395.0
Wyatt Earp (1994),111756,12160.0
Bad Company (1995),112443,40480.0
"Man of No Importance, A (1994)",110455,52038.0
S.F.W. (1994),111048,29444.0
"Low Down Dirty Shame, A (1994)",110399,26352.0
Boys Life (1995),112570,39953.0
"Colonel Chabert, Le (1994)",109454,41580.0
Faster Pussycat! Kill! Kill! (1965),59170,315.0
Jason's Lyric (1994),110186,22067.0
Street Fighter (1994),111301,11667.0
Highlander III: The Sorcerer (a.k.a. Highlander: The Final Dimension) (1994),110027,8011.0
Federal Hill (1994),109785,171857.0
In the Mouth of Madness (1995),113409,2654.0
8 Seconds (1994),109021,18069.0
Above the Rim (1994),109035,19092.0
Addams Family Values (1993),106220,2758.0
"Age of Innocence, The (1993)",106226,10436.0
Airheads (1994),109068,13595.0
"Air Up There, The (1994)",109067,46094.0
Another Stakeout (1993),106292,9409.0
Bad Girls (1994),109198,11853.0
Barcelona (1994),109219,16771.0
Being Human (1993),106379,46924.0
"Beverly Hillbillies, The (1993)",106400,11041.0
Beverly Hills Cop III (1994),109254,306.0
Black Beauty (1994),109279,14522.0
Blink (1994),109297,26203.0
Blown Away (1994),109303,178.0
Blue Chips (1994),109305,19819.0
Blue Sky (1994),109306,57834.0
Body Snatchers (1993),106452,4722.0
Boxing Helena (1993),106471,18215.0
"Bronx Tale, A (1993)",106489,1607.0
Cabin Boy (1994),109361,26391.0
Calendar Girl (1993),106505,117553.0
Carlito's Way (1993),106519,6075.0
City Slickers II: The Legend of Curly's Gold (1994),109439,11310.0
Clean Slate (1994),109443,18658.0
Cliffhanger (1993),106582,9350.0
Coneheads (1993),106598,9612.0
Color of Night (1994),109456,2124.0
Cops and Robbersons (1994),109480,26261.0
"Cowboy Way, The (1994)",109493,19176.0
Dave (1993),106673,11566.0
Dazed and Confused (1993),106677,9571.0
Demolition Man (1993),106697,9739.0
Even Cowgirls Get the Blues (1993),106834,34444.0
Fatal Instinct (1993),106873,26141.0
Farewell My Concubine (Ba wang bie ji) (1993),106332,10997.0
Fearless (1993),106881,10443.0
Fear of a Black Hat (1994),106880,20239.0
With Honors (1994),111732,16297.0
Flesh and Bone (1993),106926,18551.0
Widows' Peak (1994),111712,25440.0
For Love or Money (1993),106941,9024.0
"Firm, The (1993)",106918,37233.0
Free Willy (1993),106965,1634.0
Fresh (1994),109842,13815.0
"Fugitive, The (1993)",106977,5503.0
Geronimo: An American Legend (1993),107004,35588.0
"Getaway, The (1994)",109890,2087.0
Getting Even with Dad (1994),109891,41579.0
Go Fish (1994),109913,18620.0
Hard Target (1993),107076,2019.0
Hot Shots! Part Deux (1993),107144,9255.0
Live Nude Girls (1995),113674,26271.0
"Englishman Who Went Up a Hill But Came Down a Mountain, The (1995)",112966,10612.0
"House of the Spirits, The (1993)",107151,2259.0
House Party 3 (1994),110064,16097.0
"Hudsucker Proxy, The (1994)",110074,11934.0
I'll Do Anything (1994),110097,106143.0
In the Army Now (1994),110123,12475.0
In the Line of Fire (1993),107206,9386.0
In the Name of the Father (1993),107207,7984.0
"Inkwell, The (1994)",110137,59930.0
What's Love Got to Do with It? (1993),108551,15765.0
Jimmy Hollywood (1994),110197,31643.0
Judgment Night (1993),107286,6.0
Jurassic Park (1993),107290,329.0
Kalifornia (1993),107302,10909.0
Killing Zoe (1994),110265,507.0
Lassie (1994),110305,29918.0
Last Action Hero (1993),107362,9593.0
Life with Mikey (1993),107413,42580.0
Lightning Jack (1994),110353,22317.0
M. Butterfly (1993),107468,1413.0
Made in America (1993),107478,12121.0
Malice (1993),107497,2246.0
"Man Without a Face, The (1993)",107501,10502.0
Manhattan Murder Mystery (1993),107507,10440.0
Menace II Society (1993),107554,9516.0
Executive Decision (1996),116253,2320.0
In the Realm of the Senses (Ai no corrida) (1976),74102,5879.0
What Happened Was... (1994),111689,83718.0
Much Ado About Nothing (1993),107616,11971.0
Mr. Wonderful (1993),107613,31911.0
Mrs. Doubtfire (1993),107614,788.0
Naked (1993),107653,21450.0
"Next Karate Kid, The (1994)",110657,11231.0
No Escape (1994),110678,10447.0
North (1994),110687,31586.0
Orlando (1992),107756,9300.0
"Perfect World, A (1993)",107808,9559.0
Philadelphia (1993),107818,9800.0
"Piano, The (1993)",107822,713.0
Poetic Justice (1993),107840,8291.0
"Program, The (1993)",107889,18133.0
"Puppet Masters, The (1994)",111003,25557.0
Radioland Murders (1994),110939,22588.0
"Ref, The (1994)",110955,10872.0
"Remains of the Day, The (1993)",107943,1245.0
Renaissance Man (1994),110971,11858.0
Rising Sun (1993),107969,7007.0
"Road to Wellville, The (1994)",111001,10467.0
RoboCop 3 (1993),107978,5550.0
Robin Hood: Men in Tights (1993),107977,8005.0
Romeo Is Bleeding (1993),107983,2088.0
Romper Stomper (1992),105275,10412.0
Ruby in Paradise (1993),108000,47889.0
Rudy (1993),108002,14534.0
"Savage Nights (Nuits fauves, Les) (1992)",105032,41878.0
Schindler's List (1993),108052,424.0
"Scout, The (1994)",111094,35233.0
Searching for Bobby Fischer (1993),108065,14291.0
"Secret Garden, The (1993)",108071,11236.0
Serial Mom (1994),111127,11592.0
"Shadow, The (1994)",111143,8850.0
Shadowlands (1993),108101,10445.0
Short Cuts (1993),108122,695.0
"Simple Twist of Fate, A (1994)",111194,43535.0
Sirens (1994),111201,12519.0
Six Degrees of Separation (1993),108149,23210.0
Sleepless in Seattle (1993),108160,858.0
Sliver (1993),108162,867.0
Blade Runner (1982),83658,78.0
Son in Law (1993),108186,13203.0
So I Married an Axe Murderer (1993),108174,10442.0
Striking Distance (1993),108238,11074.0
Super Mario Bros. (1993),108255,9607.0
Surviving the Game (1994),111323,17585.0
Terminal Velocity (1994),111400,9057.0
Thirty-Two Short Films About Glenn Gould (1993),108328,20967.0
Threesome (1994),111418,10635.0
"Nightmare Before Christmas, The (1993)",107688,9479.0
"Three Musketeers, The (1993)",108333,10057.0
Tombstone (1993),108358,11969.0
True Romance (1993),108399,319.0
"War Room, The (1993)",108515,26408.0
"Pagemaster, The (1994)",110763,15139.0
Welcome to the Dollhouse (1995),114906,11446.0
Germinal (1993),107002,51980.0
Chasers (1994),109403,24405.0
Kika (1993),107315,8223.0
Bhaji on the Beach (1993),106408,14587.0
Little Big League (1994),110363,31504.0
"Ciao, Professore! (Io speriamo che me la cavo) (1992)",107225,23637.0
Spanking the Monkey (1994),111252,17600.0
"Little Rascals, The (1994)",110366,10897.0
Andre (1994),109120,21352.0
"Escort, The (Scorta, La) (1993)",108059,68806.0
Princess Caraboo (1994),110892,37345.0
"Celluloid Closet, The (1995)",112651,32562.0
Dear Diary (Caro Diario) (1994),109382,25403.0
"Brady Bunch Movie, The (1995)",112572,9066.0
Home Alone (1990),99785,771.0
Ghost (1990),99653,251.0
Aladdin (1992),103639,812.0
Terminator 2: Judgment Day (1991),103064,280.0
Dances with Wolves (1990),99348,581.0
Batman (1989),96895,268.0
"Silence of the Lambs, The (1991)",102926,274.0
Snow White and the Seven Dwarfs (1937),29583,408.0
Beauty and the Beast (1991),101414,10020.0
Pinocchio (1940),32910,10895.0
Pretty Woman (1990),100405,114.0
"Wild Bunch, The (1969)",65214,576.0
Love and a .45 (1994),110395,15477.0
"Great Day in Harlem, A (1994)",109934,124472.0
One Fine Day (1996),117247,7300.0
Candyman: Farewell to the Flesh (1995),112625,10824.0
Fargo (1996),116282,275.0
Homeward Bound II: Lost in San Francisco (1996),116552,25059.0
Heavy Metal (1981),82509,11827.0
Hellraiser: Bloodline (1996),116514,8766.0
"Pallbearer, The (1996)",117283,23570.0
Jane Eyre (1996),116684,47333.0
Bread and Chocolate (Pane e cioccolata) (1973),70506,51242.0
"Aristocats, The (1970)",65421,10112.0
"Flower of My Secret, The (La flor de mi secreto) (1995)",113083,4307.0
Two Much (1995),118001,46029.0
Ed (1996),116165,32308.0
"Thin Line Between Love and Hate, A (1996)",117891,28121.0
"Last Supper, The (1995)",113613,12520.0
Primal Fear (1996),117381,1592.0
All Dogs Go to Heaven 2 (1996),115509,19042.0
Land and Freedom (Tierra y libertad) (1995),114671,38884.0
Denise Calls Up (1995),112844,47449.0
Theodore Rex (1995),114658,36259.0
"Family Thing, A (1996)",116275,41852.0
Frisk (1995),113122,40926.0
Sgt. Bilko (1996),117608,9099.0
Jack and Sarah (1995),113448,2021.0
Girl 6 (1996),116414,61752.0
Diabolique (1996),116095,10988.0
Nelly & Monsieur Arnaud (1995),113947,12652.0
Courage Under Fire (1996),115956,10684.0
Mission: Impossible (1996),117060,954.0
Cold Fever (Á köldum klaka) (1995),109028,68445.0
Moll Flanders (1996),117071,18989.0
Dragonheart (1996),116136,8840.0
Eddie (1996),116168,11107.0
James and the Giant Peach (1996),116683,10539.0
Fear (1996),116287,10543.0
Kids in the Hall: Brain Candy (1996),116768,18414.0
Underground (1995),114787,11902.0
Bloodsport 2 (a.k.a. Bloodsport II: The Next Kumite) (1996),112536,25087.0
Song of the Little Road (Pather Panchali) (1955),48473,5801.0
"World of Apu, The (Apur Sansar) (1959)",52572,896.0
Mystery Science Theater 3000: The Movie (1996),117128,3065.0
Space Jam (1996),117705,2300.0
Barbarella (1968),62711,8069.0
Some Folks Call It a Sling Blade (1993),108181,27768.0
"Run of the Country, The (1995)",114307,221917.0
"Alphaville (Alphaville, une étrange aventure de Lemmy Caution) (1965)",58898,8072.0
It's My Party (1996),113443,33245.0
Operation Dumbo Drop (1995),114048,27281.0
Mrs. Winterbourne (1996),117104,40001.0
Solo (1996),117688,29621.0
"Substitute, The (1996)",117774,20762.0
True Crime (1996),114736,37144.0
Feeling Minnesota (1996),116289,12656.0
Delta of Venus (1995),109593,38867.0
Angus (1995),112368,25969.0
Boys (1996),115742,43634.0
"Quest, The (1996)",117420,9103.0
Sunset Park (1996),117784,29649.0
Mulholland Falls (1996),117107,10990.0
"Truth About Cats & Dogs, The (1996)",117979,8866.0
Oliver & Company (1988),95776,12233.0
Celtic Pride (1996),115851,23449.0
Flipper (1996),116322,36355.0
Dead Man (1995),112817,922.0
"Horseman on the Roof, The (Hussard sur le toit, Le) (1995)",113362,11876.0
"Visitors, The (Visiteurs, Les) (1993)",108500,11687.0
Multiplicity (1996),117108,9304.0
Wallace & Gromit: The Best of Aardman Animation (1996),118114,503475.0
"Haunted World of Edward D. Wood Jr., The (1996)",113270,73183.0
"Craft, The (1996)",115963,9100.0
"Great White Hype, The (1996)",116448,20759.0
Last Dance (1996),116827,46063.0
Cold Comfort Farm (1995),112701,32513.0
Heaven's Prisoners (1996),116508,36915.0
"Rock, The (1996)",117500,9802.0
Cemetery Man (Dellamorte Dellamore) (1994),109592,21588.0
Twister (1996),117998,664.0
Barb Wire (1996),115624,11867.0
Ghost in the Shell (Kôkaku kidôtai) (1995),113568,9323.0
Thinner (1996),117894,10280.0
Spy Hard (1996),117723,10535.0
Wallace & Gromit: A Close Shave (1995),112691,532.0
"Stupids, The (1996)",117768,16299.0
"Arrival, The (1996)",115571,10547.0
Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1964),57012,935.0
Ashes of Time (Dung che sai duk) (1994),109688,40751.0
Maya Lin: A Strong Clear Vision (1994),110480,85778.0
Stalingrad (1993),108211,11101.0
"Phantom, The (1996)",117331,9826.0
Striptease (1996),117765,9879.0
Heavy (1995),113280,22621.0
Jack (1996),116669,7095.0
I Shot Andy Warhol (1996),116594,26890.0
Touki Bouki (1973),70820,77771.0
Spirits of the Dead (1968),63715,41225.0
Trainspotting (1996),117951,627.0
'Til There Was You (1997),118523,32872.0
Independence Day (a.k.a. ID4) (1996),116629,602.0
Stealing Beauty (1996),117737,14553.0
"Fan, The (1996)",116277,9566.0
"Hunchback of Notre Dame, The (1996)",116583,10545.0
"Cable Guy, The (1996)",115798,9894.0
Kingpin (1996),116778,11543.0
Eraser (1996),116213,9268.0
"Nutty Professor, The (1996)",117218,9327.0
"Unforgettable Summer, An (Un été inoubliable) (1994)",111546,81949.0
"Last Klezmer: Leopold Kozlowski, His Life and Music, The (1994)",113610,
Somebody to Love (1994),111237,44535.0
Daylight (1996),116040,11228.0
"Frighteners, The (1996)",116365,10779.0
Lone Star (1996),116905,26748.0
Harriet the Spy (1996),116493,38223.0
Phenomenon (1996),117333,9294.0
Walking and Talking (1996),118113,49963.0
She's the One (1996),117628,11363.0
"Time to Kill, A (1996)",117913,1645.0
American Buffalo (1996),115530,31546.0
Alaska (1996),115493,36344.0
Fled (1996),116320,18550.0
Kazaam (1996),116756,11511.0
Larger Than Life (1996),116823,34170.0
"Very Brady Sequel, A (1996)",118073,12606.0
"Collector, The (La collectionneuse) (1967)",61495,4837.0
Kaspar Hauser (1993),110246,12632.0
"Adventures of Pinocchio, The (1996)",115472,18975.0
Joe's Apartment (1996),116707,11962.0
"First Wives Club, The (1996)",116313,2925.0
Ransom (1996),117438,3595.0
High School High (1996),116531,9308.0
Foxfire (1996),116353,18555.0
Chain Reaction (1996),115857,12123.0
Matilda (1996),117008,10830.0
Emma (1996),116191,3573.0
"Crow: City of Angels, The (1996)",115986,10546.0
House Arrest (1996),116571,18862.0
"Eyes Without a Face (Yeux sans visage, Les) (1959)",53459,31417.0
Tales from the Crypt Presents: Bordello of Blood (1996),117826,9431.0
"Spitfire Grill, The (1996)",117718,47907.0
Escape from L.A. (1996),116225,10061.0
Basquiat (1996),115632,549.0
Tin Cup (1996),117918,10478.0
"Godfather, The (1972)",68646,238.0
Supercop (Police Story 3: Supercop) (Jing cha gu shi III: Chao ji jing cha) (1992),104558,11134.0
Bound (1996),115736,9303.0
